Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
Radio Tiếng Nươc Tôi: Houston (aka TNT Media Houston),2004,https://tntmediahouston.com/,77036,"Houston, TX",Texas,(713) 781-5868,tntmedialive@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",24/7,Local,Local,,,https://www.youtube.com/@TNTMediaLive,
Radio Tiếng Nươc Tôi: Sacramento (aka TNT Media Sacramento) 1690 AM,2004,,95758,"Sacramento, CA",California,(916) 284 0568,tiengnuoctoisacto@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,Radio,24/7,Local,Local,,,https://www.youtube.com/@radiotiengnuoctoisacrament7249,
Radio Tiếng Nươc Tôi: San Diego (aka TNT Media San Diego),2009,https://www.tntmediasandiego.com/,92104,"San Diego, CA",California,(619) 282-3840,tntsd30th@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",24/7,Local,Local,,https://www.facebook.com/p/Tieng-Nuoc-Toi-Radio-100064279951244/,https://www.youtube.com/@TNTMediaLive,
Radio Tonga Seattle,1985,,98106,"Seattle, WA",Washington,(206) 499-6883,tpuloka@gmail.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Weekly,Local,Local,,https://www.facebook.com/RadioTongaSeattle/,https://www.youtube.com/@tonypuloka496,
Radio Washington D.C. WDCT AM 1310,1994,https://dc1310.com/,22030,"Fairfax, VA",Virginia,(703) 273-4000,info@dc1310.com,Korean American,Korean American,,"Korean,English",Radio,"Radio,Podcast,Website",Daily,Local,Local,https://twitter.com/1310Wdct,https://facebook.com/wdct1310,https://youtube.com/@WDCTAM1310,
Radio Zindagi: Bay Area on 1550 AM,2011,https://radiozindagi.com/sanfrancisco/,94538,"Fremont, CA",California,(510) 770-1550,contactsfo@radiozindagi.com,Indian American,Indian American,,"Bangla,Gujarati,Hindi,Telugu,English",Radio,"Radio,Newsletter,Website",24/7,Local,Local,https://twitter.com/radiozindagi,https://www.facebook.com/RadioZindagi/,https://www.youtube.com/@radiozindagi9337,
Radio Zindagi: DC Metro,2011,https://radiozindagi.com/virginiaw/,20170,"Herndon, VA",Virginia,(510) 371-9999 x110,,Indian American,Indian American,,"Hindi,Telugu,English",Radio,"Radio,Newsletter,Website",24/7,Local,Local,,,,
"Radio Zindagi: Tristate on 1310 AM, 96.7 FM, 540 AM",2011,https://radiozindagi.com/newyork/,08820,"Edison, NJ",New Jersey,(347) 687-4207,contactny@radiozindagi.com,Indian American,Indian American,,"Hindi,Tamil,English",Radio,"Radio,Newsletter,Website",24/7,Local,Local,https://twitter.com/RadioZindagiNY,https://www.facebook.com/RadioZindagi.Tristate/,,
Rafu Shimpo,1903,https://rafu.com/,90013,"Los Angeles, CA",California,(213) 629-2231,online@rafu.com,Japanese American,Japanese American,,"Japanese,English",Newspaper,"Newspaper,Digital Newspaper,Newsletter,Magazine,Website",Daily,Local,Local,https://twitter.com/RafuShimpo,https://facebook.com/RafuShimpo/,https://www.youtube.com/@RafuShimpo,verified
Rah-e-Zendegi,1980,,90024,"Los Angeles, CA",California,(310) 470-7007,,Iranian American,Iranian American,,Farsi,Magazine,Magazine,Weekly,Local,Local,,,,
Rang Dong News,1991,https://rangdongatlanta.com/,30096,"Duluth, GA",Georgia,(678) 360-2840,rangdong.rv@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine,Radio,Website",Weekly,Local,"Local,National",https://rangdongatlanta.com/,https://facebook.com/rangdongnews1991,,verified
Reappropriate,2002,https://reappropriate.co/,,"New Haven, CT",Connecticut,,jenn@reappropriate.co,AAPI,"Asian American,Pacific Islander",Feminist,English,Website,Website,Weekly,National,National,https://twitter.com/reappropriate,https://facebook.com/reappropriate.co,https://www.youtube.com/@jennreappropriate4941,verified
Reclaim,2020,https://asianamericanchristiancollaborative.com/articles,92781,"Tustin, CA",California,,hello@aachristcollab.com,Asian American,Asian American,Christian,English,Digital Magazine,"Digital Magazine,Podcast,Website",Monthly,National,National,https://twitter.com/aachristcollab,https://www.facebook.com/aachristcollab,https://youtube.com/@aachristcollab,
Reclamation Magazine,2018,https://reclamationmagazine.com/,,"Philadelphia, PA",Pennsylvania,(484) 363-1914,reclamationmag@gmail.com,South Asian American,"South Asian American,Asian American,Multiethnic","Progressive, Marginalized Voices",English,Website,"Newsletter,Website",,National,National,https://twitter.com/ReclamationMag,https://facebook.com/reclamationmag,,
"Red, White and Brown",2016,https://redwhiteandbrown.media/,80237,"Denver, CO",Colorado,(646) 481-3221,redwhiteandbrownmedia@gmail.com,South Asian American,South Asian American,,English,Newsletter,"Newsletter,Website",Weekly,National,National,https://twitter.com/rwbmedia,https://www.facebook.com/rwbmedia/,,verified
Relations of Salt and Stars,2023,https://relations-of-salt-and-stars.castos.com/,84112,"Salt Lake City, UT",Utah,(801) 581-8094,,Pacific Islander,"Chuukese,Native Hawaiian,Pacific Islander","Indigenous Pasifika Communities
",English,Podcast,Podcast,Quarterly,Diasporic,"Local,Diasporic",https://x.com/uoupistudies,https://www.facebook.com/UofUCPIK,https://www.youtube.com/@UofUCPIK,
Rice & Spice,2020,https://ricespicemag.com/,,"Palo Alto, CA",California,(650) 308-6227,ricespicemag@gmail.com,Asian American,Asian American,Youth,English,Magazine,"Magazine,Digital Magazine,Newsletter,Website",Monthly,National,"National,Diasporic",https://twitter.com/ricespicemag,,https://www.youtube.com/@ricespicemag,verified
Rocky Mountain Chinese Weekly (aka Greater Denver Times),2012,https://rockymountainchineseweekly.com/,80222,"Denver, CO",Colorado,(720) 300-8473,RMchineseweekly@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",Health and Lifestyle,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://facebook.com/rmchineseweekly/,,
Rohingya Diaspora in the U.S. (Imran Mohammed Fazal Hoque),2021,https://pulitzercenter.org/projects/rohingya-diaspora-us,,"Chicago, IL",Illinois,,imran@imranmfh.com,Rohingya American,"Burmese American,Southeast Asian American,South Asian American",,English,Website,Website,,Local,"Local,National",https://twitter.com/Imranmfh,https://www.facebook.com/md.imran.5688476/,,
Saghamam Newspaper,2002,https://sanghamam.com/,60018,"Des Plaines, IL",Illinois,(773) 842-8081,jsebastian@sanghamam.com,Indian American,Indian American,,Malayalam,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,Diasporic,"National,Diasporic",https://twitter.com/sanghamamnews,https://www.facebook.com/sanghamamnewspaper,,
Saigon Entertainment Television,2008,https://setchannel.tv/,92843,"Garden Grove, CA",California,(714) 266-3666,info@setchannel.tv,Vietnamese American,Vietnamese American,,Vietnamese,Television,"Television,Website",24/7,National,"Local,National",,https://facebook.com/setchannel/,https://www.youtube.com/@SaigonEntertainmentTV,
Saigon Nhỏ,1985,https://saigonnhonews.com/,92683,"Westminster, CA",California,(714) 265-0800,toasoan@saigonnhonews.com,Vietnamese American,Vietnamese American,,Vietnamese,Website,"Newspaper,Newsletter,Podcast,Website",Daily,Local,"Local,National",,https://facebook.com/saigonnhonews,https://youtube.com/channel/UChcAqYIGAzwJd2g8G4MMKYg,
"Saigon Radio Hải Ngoại on KALI 106.3 FM (Los Angeles), KVVN 1430 AM (San Jose), and KREH 900 AM (Houston)",1995,https://saigonradio.com/,92683,"Westminster, CA",California,(714) 362-7090,info@saigonradio.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",Daily,Local,Local,https://twitter.com/Saigon_Radio,https://www.facebook.com/pages/Sai%20Gon%20Radio%20Hai%20Ngoai/397413570271148,,
Saigon Television (aka Saigon TV) on KJLA and KTSF,2002,https://saigontivi.com/,92683,"Westminster, CA",California,(714) 230-8476,info@saigontivi.com,Vietnamese American,Vietnamese American,,Vietnamese,Television,"Television,Website",24/7,Local,Local,https://twitter.com/saigontv575,https://facebook.com/SaigonTV575/,https://youtube.com/saigontivi575,
Samoa Global News,2019,https://samoaglobalnews.com/,,"Apia, Samoa",Samoa,685 75 76710,editor@samoaglobalnews.com,Samoan,Samoan,,"Samoan,English",Website,Website,Daily,Local,"Local,Diasporic",https://twitter.com/SAMOAGLOBALNEWS,https://facebook.com/samoaglobalnews,https://www.youtube.com/@SamoaGlobalNews,
Samoa News,1986,https://www.samoanews.com,96799,"Pago Pago, American Samoa",American Samoa,(684) 633-5599,,Samoan,Samoan,,"Samoan,English",Newspaper,"Newspaper,Website",Daily,Local,Local,https://twitter.com/samoanews,https://facebook.com/samoanewsmedia/,https://www.youtube.com/@samoanews123,
Samoa Observer,1978,https://www.samoaobserver.ws/,,"Apia, Samoa",Samoa,685 23078,online@sobserver.ws,Samoan,Samoan,,"Samoan,English",Newspaper,"Newspaper,Website",Daily,Local,"Local,Diasporic",https://twitter.com/samoaobserver,https://www.facebook.com/samoaobserver/,https://www.youtube.com/@samoaobserver6373,
Samoana Media,2018,https://www.samoanamedia.com/,96814,"Honolulu, HI",Hawaii,,info@samoanamedia.com,Samoan,"Samoan,Pacific Islander","Samoan and Oceanic Language, Sports, Culture, and Society","Samoan,ōlelo Hawai'i ,French,Spanish,English",Website,"Newsletter,Website",Weekly,Diasporic,Diasporic,"https://x.com/LearnSamoan
",https://www.facebook.com/learnsamoan,https://www.youtube.com/@samoanamedia463,
Sampan Newspaper,1972,https://sampan.org/,02111,"Boston, MA",Massachusetts,(617) 426-9492 x206,editor@sampan.org,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Traditional),English",Newspaper,"Newspaper,Website",Weekly,Local,Local,https://twitter.com/SampanNewspaper,https://facebook.com/SampanNewspaperBoston/,,
San Francisco World Television,1985,https://spiritrisingproductions.com/sfworldtv.htm,94116,"San Francisco, CA",California,(415) 564-7778,sfwitv@gmail.com,Assyrian American,"Assyrian American,Middle Eastern American",,"Assyrian,Farsi,English",Television,Television,Weekly,Local,"Local,National",,,,
San Times,2024,https://san-times.com/,92799,"Santa Ana, CA",California,,info@san-times.com,Japanese American,Japanese American,"Japanese American stories of the Sansei, Yonsei, and Gosei generations in Hawaii, Washington, and California",English,Website,"Digital Newspaper,Television,Website",Weekly,National,"Local,National,Diasporic",,https://www.facebook.com/p/San-Times-61560058529787/,https://www.youtube.com/@San-Times-Channel,
Sankaku Yokocho,2008,https://sankakuyokochoncusa.web.fc2.com/,27517,"Chapel HIll, NC",North Carolina,(919) 215-4665,sankakuyokocho@outlook.com,Japanese American,Japanese American,,Japanese,Newsletter,"Newsletter,Website",Quarterly,Local,Local,,https://facebook.com/sankakuyokocho/,,
Sapan News Network,2021,https://sapannews.com/,02138,"Cambridge, MA",Massachusetts,,mail@sapannews.com,South Asian American,South Asian American,South Asian and Diasporic Peace Movement ,English,Website,"Website,Reports",Weekly,Diasporic,Diasporic,https://twitter.com/sapannews,https://www.facebook.com/SapanNews/,https://www.youtube.com/@southasiapeace,
SBS International (aka LA LA SBS),1992,https://www.lalasbs.com/en,90010,"Los Angeles, CA",California,(213) 381-2121,media@sbs-int.com,Korean American,Korean American,,"Korean,English",Television,"Television,KakaoTalk,Website",24/7,National,National,https://twitter.com/LaLa_SBS,https://www.facebook.com/lalasbs/,https://www.youtube.com/c/lalasbs1,
SBTN (Saigon Broadcasting Television Network): HQ,2001,https://sbtn.tv/,92843,"Garden Grove, CA",California,(714) 636-1121,sbtn@sbtn.tv,Vietnamese American,Vietnamese American,,Vietnamese,Television,"Television,Website",24/7,Local,"Local,National",https://twitter.com/sbtnofficial,https://facebook.com/SBTNOfficial,https://youtube.com/user/sbtnofficial,
SBTN-Boston (aka Vietnamese Broadcast Media),2007,https://sbtn.tv/,02127,"Boston, MA",Massachusetts,(617) 315-7763,sbtn@sbtn.tv,Vietnamese American,Vietnamese American,,Vietnamese,Television,Television,24/7,Local,Local,,,https://www.youtube.com/@SBTNBOSTONNEWS,
SBTN-DC (aka The Washington Vietnamese TV Network) and Vietnamese American Television Network (VATV),2008,https://www.sbtngo.com/sbtn-washington-dc,22044,"Falls Church, VA",Virginia,,sbtn@sbtn.tv,Vietnamese American,Vietnamese American,,Vietnamese,Television,Television,24/7,Local,Local,,https://www.facebook.com/VATVOIVNEWS,https://www.youtube.com/@vatv,
SBTN-DFW,2008,https://sbtn.tv/,75238,"Dallas, TX",Texas,(214) 389-2563,sbtn@sbtn.tv,Vietnamese American,Vietnamese American,,Vietnamese,Television,Television,24/7,Local,Local,,,,
Seattle Chinese News Media Group (Seattle Chinese News),2002,http://www.chineseseattlenews.com/,98125,"Seattle, WA",Washington,(206) 622-6666,SeattleChineseNews@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional)",Newspaper,"Newspaper,Digital Newspaper,Television,Website",Weekly,Local,Local,,,,
Seattle Chinese Post,1983,https://seattlechinesepost.com/,98104,"Seattle, WA",Washington,(206) 223-0623,info@nwasianweekly.com,Chinese-Speaking,Chinese American,,"Chinese (Simplified),Chinese (Traditional)",Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/pages/Seattle%20Chinese%20Post/107739325913327/,,
Seattle Chinese TImes,2004,,98104,"Seattle, WA",Washington,(206) 355-2822,info@seattlechinesetimes.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional),English",Newspaper,Newspaper,Weekly,Local,Local,https://twitter.com/seattlect,https://facebook.com/seattlect/,,
Seattle Viet Times,2005,,98092,"Mills Creek, WA",Washington,(425) 678-8872,seattleviettimes@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,Newspaper,Weekly,Local,Local,,https://facebook.com/seattleviettimes.svt,,verified
SeattleN,2013,https://seattlen.com,98037,"Lynnwood, WA",Washington,(425) 582-9795,info@seatlen.com,Korean American,Korean American,,Korean,Website,Website,Weekly,Local,Local,https://twitter.com/seattleknews,https://www.facebook.com/206SeattleN/,,
Seeb Magazine,2018,https://seebmagazine.com/,92817,"Anaheim, CA",California,(949)536-5799,info@seebmagazine.com,Iranian American,Iranian American,"Medical, Health and Wellness Journal",Farsi,Magazine,"Magazine,Digital Magazine,Newsletter,Website",Bimonthly,Local,"Local,National",,https://www.facebook.com/seebmagazine,https://www.youtube.com/@seebmagazine1454,
Seema Magazine,2020,https://www.seema.com/,08534,"Pennington, NJ",New Jersey,,info@seema.com,Indian American,"Indian American,South Asian American",Women of Indian Origin,English,Magazine,"Magazine,Digital Magazine,Newsletter,Website",Monthly,National,"National,Diasporic",https://twitter.com/seemanetwork,https://www.facebook.com/SEEMANETWORKS/,,
Sereechai Newspaper (aka Thai World News),1985,,90038,"Los Angeles, CA",California,(323) 465-7550,https://www.ethnicchannels.com/images/channeldetail/sbtn/sbtn.pdf KR: VATV / VATN and SBTN broadcast on the same channel and share staff.,Thai American,Thai American,,Thai,Newspaper,Newspaper,Weekly,Local,Local,,,,
SF Korean,2002,https://sfkorean.com/,95050,"Santa Clara, CA",California,(408) 205-6340,mysfkorean@gmail.com,Korean American,Korean American,,Korean,Website,"Website,Television",Daily,Local,Local,,,https://www.youtube.com/@SFKoreanTV,
Shukan NY Seikatsu,2004,https://nyseikatsu.com/,10036,"New York, NY",New York,(212) 213-6069,post@nyseikatsu.com,Japanese American,Japanese American,,"Japanese,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,https://twitter.com/NY_Seikatsu,https://facebook.com/seikatsu.ny,,verified
Siam Media Newspaper,1981,https://siammedia.org,91770,"Rosemead, CA",California,(626) 757-3364,info@siammedia.org,Thai American,Thai American,,Thai,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,https://twitter.com/sripipatarkadet,https://facebook.com/siammedia.org,https://youtube.com/user/Siammedia?feature=watch,
SiamTownUS,2010,https://siamtownus.com/2016/,90027,"Los Angeles, CA",California,(323) 799-0722,news@siamtownus.com,Thai American,Thai American,,Thai,Website,"Digital Newspaper,Website",Daily,Local,Local,https://twitter.com/SiamtownUS,https://www.facebook.com/SiamTownUS/about_details,https://www.youtube.com/@siamtown,
Siliconeer Magazine,2000,https://siliconeer.com/,94539,"Fremont, CA",California,(408) 745-9663,info@siliconeer.com,Indian American,"Indian American,South Asian American","Silicon Valley and Infotech, Gen-Z",English,Website,"Magazine,Television,Website",Daily,Local,Local,https://twitter.com/Siliconeer,https://www.facebook.com/siliconeer/,https://www.youtube.com/@Siliconeer1,
Sing Tao Chinese Radio on KVTO AM 1400 and KSQQ FM 96.1,1996,https://chineseradio.com/main/,94080,"San Francisco, CA",California,(650) 808-8008,sf@chineseradio.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,Chinese (Traditional)",Radio,"Radio,Television,Website",Daily,Local,"Local,National",,https://www.facebook.com/SingTaoCR/,https://www.youtube.com/@singtaotv,
Sing Tao Daily Los Angeles,1989,https://singtaousa.com/la/,91745,"City of Industry, CA",California,(626) 956-8200,admin@singtaola.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/singtaola?lang=en,https://facebook.com/SingTaoLA/,https://www.youtube.com/@singtaol.a.3013,verified
Sing Tao Daily: New York Edition,1965,https://singtaousa.com/ny,10013,"New York, NY",New York,(212) 699-3800,info@nysingtao.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,Chinese (Traditional)",Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/nysingtao?lang=en,https://facebook.com/SingTaoDaily/,,verified
